# Supplementary geological attributes as rock type percentages based on the map of main lithologies across Switzerland (Swiss Geological Map by Swisstopo) and the map of molasse layers on the Swiss plateau (GeoMol by Swisstopo)
gauge_id,osm,omm,usm,api,amk,sus,dup,sal,oos,mpk,aap,fju,hes,mps,ups,ops,tie,ukd,uod,ood,qua
2202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88,42.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,0.0,0.0,0.0,0.0,0.0,25.62,0.0,0.0,0.0,0.0,0.0,0.0,13.75,20.16,35.65,4.72,0.0,0.0,0.0,0.0,0.11
2205,9.74,14.82,17.04,10.24,0.84,3.31,0.0,0.0,1.0,0.0,0.08,10.14,14.03,4.29,2.4,2.84,0.0,0.0,0.0,0.01,9.23
2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.39,87.61,0.0,0.0,0.0
2207,0.0,0.07,5.4,31.08,6.57,4.71,0.0,0.0,0.01,0.0,0.0,0.0,37.18,2.04,0.0,4.96,0.0,0.0,0.0,0.0,7.99
2208,0.15,15.97,16.55,10.51,0.0,2.66,0.0,0.0,2.11,0.0,0.0,16.87,9.5,8.54,5.07,3.08,0.0,0.0,0.0,0.0,8.99
2209,11.89,3.36,10.89,12.85,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.21,1.53,0.0,0.0,0.0,0.0,12.7
2210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
2215,0.17,32.47,12.95,0.27,0.0,3.54,0.0,0.0,4.03,0.0,0.0,0.0,3.39,23.16,7.64,11.39,0.0,0.0,0.0,0.0,0.97
2217,0.0,0.17,14.53,27.65,3.84,2.49,3.02,0.0,4.26,12.93,0.0,3.87,3.17,11.17,2.42,2.31,0.0,0.0,0.0,0.0,8.16
2219,0.0,0.0,0.0,0.0,0.0,39.42,0.0,0.0,0.0,0.0,0.0,0.0,60.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,0.0,0.0,0.0,0.0,0.0,38.62,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,56.49,0.0,0.0,0.0,0.0,0.0,0.0
2239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,95.18,1.85
2243,17.11,4.32,13.43,9.8,0.0,7.64,0.0,0.0,0.07,0.0,0.0,0.18,31.7,0.06,0.16,3.6,0.0,0.0,0.0,0.03,11.88
2244,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,27.31,0.0,0.0,0.0,50.49,9.57,0.0,0.0,0.0,0.0,0.0,0.32
2247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79
2251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2256,0.0,0.0,0.0,0.0,0.0,0.0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.54,0.0,0.3
2262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.86,3.95,0.19
